"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014- 03- 18","98,700","98,500","99,300","98,200","88.17K","0.61%"
"2014- 03- 17","98,100","98,200","99,100","97,100","110.41K","0.93%"
"2014- 03- 14","97,200","96,000","99,200","95,800","220.67K","0.83%"
"2014- 03- 13","96,400","97,200","98,000","95,700","119.60K","-0.82%"
"2014- 03- 12","97,200","97,700","98,700","96,700","83.15K","-1.52%"
"2014- 03- 11","98,700","96,700","98,800","95,500","181.97K","2.71%"
"2014- 03- 10","96,100","95,100","96,800","94,600","100.32K","1.26%"
"2014- 03- 09","94,900","94,900","94,900","94,900","","0.00%"
"2014- 03- 07","94,900","96,000","97,200","94,300","80.44K","-1.76%"
"2014- 03- 06","96,600","96,600","97,800","95,800","137.16K","0.10%"
"2014- 03- 05","96,500","94,300","96,600","93,100","231.82K","2.77%"
"2014- 03- 04","93,900","89,000","94,000","89,000","398.63K","4.92%"
"2014- 03- 03","89,500","91,000","91,100","88,000","148.60K","-2.08%"
"2014- 03- 02","91,400","91,400","91,400","91,400","","0.00%"
"2014- 02- 28","91,400","92,600","93,100","90,600","120.25K","-1.83%"
"2014- 02- 27","93,100","92,300","93,400","91,700","97.98K","0.00%"
"2014- 02- 26","93,100","92,200","93,500","92,200","107.55K","0.11%"
"2014- 02- 25","93,000","92,900","93,300","91,700","120.50K","0.87%"
"2014- 02- 24","92,200","92,000","93,000","92,000","107.91K","0.22%"
"2014- 02- 21","92,000","91,400","92,100","90,900","92.67K","0.77%"
"2014- 02- 20","91,300","90,500","91,600","90,000","104.23K","0.22%"
"2014- 02- 19","91,100","90,900","92,100","90,700","118.79K","-0.11%"
"2014- 02- 18","91,200","89,400","91,300","88,700","142.09K","2.01%"
"2014- 02- 17","89,400","90,100","90,100","88,900","100.70K","0.00%"
"2014- 02- 14","89,400","86,900","89,700","86,500","205.17K","3.35%"
"2014- 02- 13","86,500","88,000","88,300","86,400","75.78K","-1.70%"
"2014- 02- 12","88,000","87,200","88,100","87,100","69.36K","0.23%"
"2014- 02- 11","87,800","86,800","87,800","86,200","51.60K","0.46%"
"2014- 02- 10","87,400","87,500","87,900","86,900","95.02K","1.04%"
"2014- 02- 07","86,500","84,100","86,900","84,100","153.49K","3.22%"
"2014- 02- 06","83,800","83,200","84,900","83,200","80.42K","0.60%"
"2014- 02- 05","83,300","84,300","84,800","82,600","80.49K","-0.95%"
"2014- 02- 04","84,100","82,800","84,600","82,800","84.75K","-0.71%"
"2014- 02- 03","84,700","83,800","85,000","82,500","127.94K","-0.35%"
