,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용)
266,에이프로젠제약(주),003060,2011.0,0,0.31
267,에이프로젠제약(주),003060,2012.0,0,-5.51
268,에이프로젠제약(주),003060,2013.0,0,-24.34
269,에이프로젠제약(주),003060,2014.0,0,-3.98
270,에이프로젠제약(주),003060,2015.0,0,-2.94
271,에이프로젠제약(주),003060,2016.0,0,-0.06
272,에이프로젠제약(주),003060,2017.0,0,-0.16
273,에이프로젠제약(주),003060,2018.0,0,-0.11
274,코오롱글로벌(주),003070,2012.0,0,-0.08
275,코오롱글로벌(주),003070,2013.0,0,0.31
276,코오롱글로벌(주),003070,2014.0,1,0.12
277,(주)디아이,003160,2011.0,0,-2.08
278,(주)디아이,003160,2012.0,1,0.33
279,흥아해운(주),003280,2011.0,1,-0.33
280,흥아해운(주),003280,2016.0,0,0.21
281,흥아해운(주),003280,2017.0,0,-0.42
282,흥아해운(주),003280,2018.0,0,-1.16
283,한일홀딩스(주),003300,2018.0,1,0.53
284,대주산업(주),003310,2012.0,1,0.61
285,(주)한국화장품제조,003350,2011.0,0,-21.97
286,(주)한국화장품제조,003350,2012.0,0,-3.77
287,(주)한국화장품제조,003350,2013.0,1,-0.4
288,쌍용씨앤이(주),003410,2011.0,1,0.7
289,(주)한진중공업홀딩스,003480,2012.0,0,-0.24
290,(주)한진중공업홀딩스,003480,2013.0,0,-3.5
291,(주)한진중공업홀딩스,003480,2014.0,0,-1.8
292,(주)한진중공업홀딩스,003480,2015.0,0,-1.24
293,(주)한진중공업홀딩스,003480,2016.0,0,-21.85
294,(주)한진중공업홀딩스,003480,2017.0,0,-1.21
295,(주)한진중공업홀딩스,003480,2018.0,0,0.51
296,(주)대한항공,003490,2011.0,0,0.81
297,(주)대한항공,003490,2012.0,0,0.55
298,(주)대한항공,003490,2013.0,0,-0.04
299,(주)대한항공,003490,2014.0,1,0.86
300,(주)아이에이치큐,003560,2011.0,1,-1.27
301,(주)아이에이치큐,003560,2013.0,0,-0.7
302,(주)아이에이치큐,003560,2014.0,1,-3.99
303,SNT중공업(주),003570,2014.0,1,-10.19
304,SNT중공업(주),003570,2016.0,0,-6.0
305,SNT중공업(주),003570,2017.0,1,-24.34
306,에이치엘비글로벌(주),003580,2011.0,0,-5.94
307,에이치엘비글로벌(주),003580,2012.0,0,-2.53
308,에이치엘비글로벌(주),003580,2013.0,0,-2.3
309,에이치엘비글로벌(주),003580,2014.0,1,-0.13
310,에이치엘비글로벌(주),003580,2017.0,0,-0.64
311,에이치엘비글로벌(주),003580,2018.0,0,-1.43
312,쌍용자동차(주),003620,2011.0,0,-15.13
313,쌍용자동차(주),003620,2012.0,0,-11.12
314,쌍용자동차(주),003620,2013.0,0,-1.02
315,쌍용자동차(주),003620,2014.0,0,-24.34
316,쌍용자동차(주),003620,2015.0,1,-24.34
317,쌍용자동차(주),003620,2017.0,0,-24.34
318,쌍용자동차(주),003620,2018.0,0,-24.34
319,유니온스틸(주),003640,2011.0,0,0.97
320,한성기업(주),003680,2014.0,1,0.34
321,한성기업(주),003680,2018.0,0,0.17
322,삼영화학공업(주),003720,2013.0,0,-9.99
323,삼영화학공업(주),003720,2014.0,0,-12.1
324,삼영화학공업(주),003720,2015.0,0,-10.63
325,삼영화학공업(주),003720,2016.0,0,-6.05
326,삼영화학공업(주),003720,2017.0,0,-11.76
327,삼영화학공업(주),003720,2018.0,0,-6.26
328,대한화섬(주),003830,2012.0,0,-4.61
329,대한화섬(주),003830,2013.0,0,-3.72
330,대한화섬(주),003830,2014.0,0,-13.69
331,대한화섬(주),003830,2015.0,0,-7.93
332,대한화섬(주),003830,2016.0,1,-1.31
333,롯데정밀화학(주),004000,2013.0,0,-3.32
334,롯데정밀화학(주),004000,2014.0,0,-1.34
335,롯데정밀화학(주),004000,2015.0,1,0.19
336,(주)에스지세계물산,004060,2012.0,0,0.29
337,(주)에스지세계물산,004060,2013.0,0,-5.63
338,(주)에스지세계물산,004060,2014.0,1,-14.52
339,(주)에스지세계물산,004060,2017.0,1,-4.57
340,(주)신흥,004080,2012.0,1,0.58
341,(주)동방,004140,2013.0,0,0.15
342,(주)동방,004140,2014.0,1,-0.03
343,한솔홀딩스(주),004150,2014.0,1,0.71
344,한솔홀딩스(주),004150,2017.0,1,-0.01
345,고려개발(주),004200,2011.0,1,-6.13
346,고려개발(주),004200,2015.0,1,-6.03
347,(주)남성,004270,2011.0,0,-0.06
348,(주)남성,004270,2012.0,0,-0.01
349,(주)남성,004270,2013.0,0,0.39
350,(주)남성,004270,2014.0,0,0.41
351,(주)남성,004270,2015.0,1,0.65
352,(주)남성,004270,2018.0,0,0.23
353,울트라건설(주),004320,2011.0,1,-7.28
354,서울식품공업(주),004410,2011.0,1,-0.59
355,서울식품공업(주),004410,2018.0,0,0.72
356,송원산업(주),004430,2011.0,1,0.97
357,송원산업(주),004430,2014.0,1,0.19
358,깨끗한나라(주),004540,2015.0,1,0.99
359,깨끗한나라(주),004540,2017.0,0,-5.38
360,깨끗한나라(주),004540,2018.0,0,-3.58
361,한솔테크닉스(주),004710,2011.0,0,-4.39
362,한솔테크닉스(주),004710,2012.0,0,-3.12
363,한솔테크닉스(주),004710,2013.0,0,-0.77
364,한솔테크닉스(주),004710,2014.0,1,0.81
365,팜젠사이언스(주),004720,2011.0,0,-2.72
366,팜젠사이언스(주),004720,2012.0,0,-5.58
367,팜젠사이언스(주),004720,2013.0,0,-8.94
368,팜젠사이언스(주),004720,2014.0,1,-4.2
369,(주)보루네오가구,004740,2011.0,0,0.62
370,(주)보루네오가구,004740,2012.0,0,-5.56
371,(주)보루네오가구,004740,2013.0,0,-5.22
372,(주)보루네오가구,004740,2014.0,0,-9.61
373,써니전자(주),004770,2011.0,0,-5.8
374,써니전자(주),004770,2012.0,0,-6.05
375,써니전자(주),004770,2013.0,0,-5.81
376,써니전자(주),004770,2014.0,1,-0.54
377,(주)덕성,004830,2011.0,1,0.56
378,(주)덕성,004830,2015.0,1,0.96
379,(주)덕성,004830,2018.0,0,-2.67
380,(주)티웨이홀딩스,004870,2011.0,0,-1.95
381,(주)티웨이홀딩스,004870,2012.0,1,-4.47
382,조광페인트(주),004910,2018.0,0,0.08
383,(주)씨아이테크,004920,2011.0,0,-24.34
384,(주)씨아이테크,004920,2012.0,0,-24.34
385,(주)씨아이테크,004920,2013.0,0,-5.7
386,(주)씨아이테크,004920,2014.0,1,-3.74
387,(주)씨아이테크,004920,2016.0,0,-1.99
388,(주)씨아이테크,004920,2017.0,0,-5.71
389,(주)씨아이테크,004920,2018.0,0,-3.53
390,한신공영(주),004960,2011.0,0,0.73
391,한신공영(주),004960,2012.0,1,0.92
392,한신공영(주),004960,2014.0,1,-1.93
393,신라교역(주),004970,2015.0,1,-7.09
394,성신양회(주),004980,2011.0,0,0.15
395,성신양회(주),004980,2012.0,1,0.34
396,롯데지주(주),004990,2017.0,1,0.73
397,(주)휴스틸,005010,2016.0,1,0.68
398,부산주공(주),005030,2012.0,0,0.58
399,부산주공(주),005030,2013.0,1,-0.03
400,부산주공(주),005030,2015.0,0,0.87
401,부산주공(주),005030,2016.0,0,-1.53
