"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017- 02- 09","4,590","4,510","4,600","4,500","117.46K","0.99%"
"2017- 02- 08","4,545","4,665","4,670","4,515","126.94K","-1.62%"
"2017- 02- 07","4,620","4,590","4,685","4,590","77.02K","-0.22%"
"2017- 02- 06","4,630","4,660","4,685","4,550","143.24K","-0.32%"
"2017- 02- 05","4,645","4,645","4,645","4,645","","0.00%"
"2017- 02- 03","4,645","4,800","4,840","4,585","347.81K","-3.43%"
"2017- 02- 02","4,810","4,895","4,940","4,755","194.13K","-2.53%"
"2017- 02- 01","4,935","4,880","4,975","4,880","129.93K","0.30%"
"2017- 01- 31","4,920","4,865","4,970","4,795","134.82K","0.72%"
"2017- 01- 26","4,885","4,800","4,910","4,755","147.49K","1.98%"
"2017- 01- 25","4,790","4,935","4,935","4,790","115.66K","-2.04%"
"2017- 01- 24","4,890","4,790","4,975","4,700","315.49K","2.09%"
"2017- 01- 23","4,790","4,985","5,020","4,790","326.00K","-4.20%"
"2017- 01- 22","5,000","5,000","5,000","5,000","","0.00%"
"2017- 01- 20","5,000","4,960","5,120","4,960","148.31K","-0.40%"
"2017- 01- 19","5,020","5,000","5,080","4,985","196.01K","0.40%"
"2017- 01- 18","5,000","4,945","5,090","4,945","263.64K","1.11%"
"2017- 01- 17","4,945","5,020","5,030","4,910","142.14K","-0.50%"
"2017- 01- 16","4,970","5,200","5,200","4,950","374.06K","-4.42%"
"2017- 01- 13","5,200","5,200","5,250","5,140","257.15K","-0.38%"
"2017- 01- 12","5,220","5,300","5,380","5,200","561.01K","-0.57%"
"2017- 01- 11","5,250","5,330","5,350","5,150","764.05K","-2.78%"
"2017- 01- 10","5,400","5,320","5,440","5,240","743.17K","1.50%"
"2017- 01- 09","5,320","5,100","5,340","4,930","670.19K","4.93%"
"2017- 01- 06","5,070","5,190","5,210","5,050","188.39K","-2.50%"
"2017- 01- 05","5,200","5,120","5,200","5,060","255.91K","1.36%"
"2017- 01- 04","5,130","5,200","5,230","5,100","173.30K","-0.97%"
"2017- 01- 03","5,180","5,130","5,280","5,100","643.16K","1.37%"
"2017- 01- 02","5,110","5,000","5,170","4,955","363.06K","2.40%"
"2016- 12- 29","4,990","4,890","5,070","4,850","358.35K","2.04%"
"2016- 12- 28","4,890","4,855","4,915","4,830","143.80K","0.72%"
"2016- 12- 27","4,855","4,830","4,920","4,830","159.56K","0.62%"
"2016- 12- 26","4,825","4,945","4,945","4,775","233.61K","-2.33%"
"2016- 12- 23","4,940","4,855","4,960","4,855","297.60K","1.86%"
"2016- 12- 22","4,850","4,905","4,920","4,790","257.18K","-1.02%"
"2016- 12- 21","4,900","4,890","4,990","4,870","380.71K","0.41%"
"2016- 12- 20","4,880","4,905","4,950","4,845","233.79K","-0.81%"
"2016- 12- 19","4,920","4,595","4,970","4,590","723.10K","7.19%"
"2016- 12- 16","4,590","4,640","4,640","4,520","184.08K","-0.22%"
"2016- 12- 15","4,600","4,600","4,650","4,580","297.86K","-0.86%"
"2016- 12- 14","4,640","4,630","4,685","4,580","173.87K","0.22%"
"2016- 12- 13","4,630","4,550","4,630","4,495","238.08K","1.76%"
"2016- 12- 12","4,550","4,575","4,585","4,450","247.65K","0.33%"
"2016- 12- 09","4,535","4,370","4,580","4,370","368.44K","3.07%"
"2016- 12- 08","4,400","4,300","4,470","4,295","223.39K","3.53%"
"2016- 12- 07","4,250","4,315","4,400","4,230","75.14K","-1.73%"
"2016- 12- 06","4,325","4,250","4,395","4,250","102.66K","1.76%"
"2016- 12- 05","4,250","4,320","4,360","4,200","106.65K","-1.96%"
"2016- 12- 02","4,335","4,365","4,395","4,320","131.98K","-0.69%"
"2016- 12- 01","4,365","4,325","4,390","4,280","123.90K","0.58%"
"2016- 11- 30","4,340","4,430","4,430","4,265","174.24K","-1.81%"
"2016- 11- 29","4,420","4,055","4,480","4,005","800.10K","6.63%"
"2016- 11- 28","4,145","4,250","4,270","4,145","113.30K","-2.81%"
"2016- 11- 25","4,265","4,200","4,285","4,190","132.28K","1.55%"
"2016- 11- 24","4,200","4,265","4,340","4,150","241.95K","-2.55%"
"2016- 11- 23","4,310","4,365","4,435","4,290","260.79K","0.35%"
"2016- 11- 22","4,295","4,220","4,330","4,175","187.70K","2.26%"
"2016- 11- 21","4,200","4,390","4,390","4,180","327.80K","-4.22%"
"2016- 11- 20","4,385","4,385","4,385","4,385","0.05K","0.00%"
"2016- 11- 18","4,385","4,460","4,540","4,315","252.77K","-2.23%"
"2016- 11- 17","4,485","4,520","4,570","4,455","114.62K","0.00%"
"2016- 11- 16","4,485","4,445","4,550","4,445","204.42K","1.01%"
